;emote;emote_sound_duration;emote_sound_danceability;emote_sound_energy;emote_sound_loudness;emote_sound_bpm;emote_sound_acousticness;emote_sound_instrumentalness;emote_sound_liveness;emote_sound_speechiness;emote_sound_valence;emote_sound_title;emote_sound_artist;emote_sound_genre;emote_sound_album;emote_sound_release_year
153;6799;31.03;15.516008377075195;6.732416663828559;3.1882429850228684;125.84078979492188;5.468609865470852;-14.005631271791955;15.859228134155272;15.005631271791955;0.8396057486534119;Pump Up the Jam;Technotronic;Dance;Pump Up the Jam;1989.0
154;3811;30.02;15.106575965881348;7.74808783459562;3.7093295136838935;128.08106994628906;5.170788253477589;-20.169144640475626;14.561511993408203;21.169144640475626;0.8992674350738525;Life On White (Alejo Vasconez Remix);Juan Pablo Moran;Electronic;Life On White (Remixes);2013.0
155;1586;31.02;15.571881294250488;5.4285354647320805;2.7778630418946197;125.70913696289062;8.06207928197457;-11.020335071618245;16.0757999420166;12.020335071618245;0.7971359491348267;Work It;Code Taco;Dance;Unknown;Unknown
156;16807;30.02;15.127188682556152;8.291691095029707;3.9479221805549223;114.29320526123048;10.384080370942812;-16.445678746856036;14.660140991210938;17.445678746856036;0.8749899864196777;Shonamalanga;LakayMuziq & Vynalcoop;Dance;Unknown;Unknown
157;13638;30.12;15.308792114257812;9.17289277229722;4.215748136744098;113.9713363647461;13.70977675134719;-13.691860957431096;15.02648639678955;14.691860957431096;0.7602925300598145;Lil Boo Thang;Paul Russell;Pop;again sometime?;2023.0
158;14631;30.02;15.095524787902832;6.685378323849996;3.4120338028260844;100.30545043945312;11.919629057187016;-14.71717089819945;15.06591510772705;15.71717089819945;0.827826738357544;Natural;Imagine Dragons;Alternative;Origins;2018.0
159;7068;35.03;17.672199249267578;11.46239499788167;4.767431474898692;110.77409362792967;9.881456953642385;-13.5921888049881;17.448959350585938;14.5921888049881;0.9043617844581604;Kiss Me More (feat. SZA);Doja Cat;Pop;Planet Her;2021.0
160;4213;39.02;19.683263778686523;15.154841974371818;5.482028177831181;148.83143615722656;4.341854934601665;-16.51930886248142;19.590023040771484;17.51930886248142;0.5044386386871338;Lottery (Renegade);K CAMP;Hip-Hop/Rap;Wayy 2 Kritical;2019.0
161;14433;30.12;15.185168266296388;5.389970796602887;2.867629951702071;135.9498748779297;5.822170900692841;-20.394696263674565;15.06999397277832;21.394696263674565;0.8882717490196228;Whip It;BigXthaPlug;Hip-Hop/Rap;Amar (Deluxe);2023.0
162;10127;30.02;14.897025108337402;0.7991880038697373;0.7858428544576468;109.9699249267578;3.3083462132921175;5.989939098915738;15.045771598815918;-4.989939098915738;0.5994423627853394;Carry You;Summer Kennedy;Unknown;Unknown;Unknown
