id;name;url;wishlists;occurrences;votes_fire;votes_love;votes_neutral;votes_disgust;votes_poop
9725;THIS IS FINE;https://fortnite.gg/cosmetics?id=9725;3,198;0;3.1K;332;261;89;311
9734;GET OUT OF YOUR MIND;https://fortnite.gg/cosmetics?id=9734;1,453;0;1.2K;220;247;67;283
9731;FANG DANCE;https://fortnite.gg/cosmetics?id=9731;817;0;497;132;183;69;194
9726;DRAMATIC FLARES;https://fortnite.gg/cosmetics?id=9726;839;0;382;113;178;48;100
9724;COUNT IT!;https://fortnite.gg/cosmetics?id=9724;1,083;0;514;112;178;62;174
9633;BURN BRIGHT;https://fortnite.gg/cosmetics?id=9633;843;0;645;121;162;46;160
9304;SCOUT REGIMENT SALUTE;https://fortnite.gg/cosmetics?id=9304;2,166;0;1.6K;249;297;117;457
9305;EXPRESSIONISM;https://fortnite.gg/cosmetics?id=9305;2,525;0;2K;354;246;71;250
9312;EMPRESS FAN DANCE;https://fortnite.gg/cosmetics?id=9312;2,480;0;2K;338;222;78;236
9311;TAIKO DRUMBEAT;https://fortnite.gg/cosmetics?id=9311;1,151;0;612;150;294;68;235
9310;CHEF'S SPECIAL;https://fortnite.gg/cosmetics?id=9310;1,920;0;2.6K;388;240;75;334
9309;SWAG SHOT;https://fortnite.gg/cosmetics?id=9309;3,870;0;2.3K;333;247;69;229
9308;SWEET SHOT;https://fortnite.gg/cosmetics?id=9308;3,138;0;3K;404;250;114;617
9307;ARRIVAL OF THE EMPRESS;https://fortnite.gg/cosmetics?id=9307;1,034;0;518;149;178;80;167
9306;STANDING BOW;https://fortnite.gg/cosmetics?id=9306;1,514;0;779;177;193;57;127
9303;SQUEEZIE DOES IT;https://fortnite.gg/cosmetics?id=9303;4,564;0;6.9K;1.2K;984;380;1.3K
9229;CHECK THE MAP;https://fortnite.gg/cosmetics?id=9229;1,195;0;554;116;209;49;219
8792;IGNI SIGN;https://fortnite.gg/cosmetics?id=8792;1,924;0;1.5K;326;405;128;325
9036;BENCH UPGRADE;https://fortnite.gg/cosmetics?id=9036;1,321;0;607;103;185;55;165
8910;CURLING IRON;https://fortnite.gg/cosmetics?id=8910;1,722;0;1.2K;280;356;91;230
8909;LIL' PRANCER;https://fortnite.gg/cosmetics?id=8909;1,619;0;1K;240;166;53;146
8793;MINI SLAYER FISTBUMP;https://fortnite.gg/cosmetics?id=8793;2,859;0;2.7K;362;240;89;291
8795;LUNAR PARTY;https://fortnite.gg/cosmetics?id=8795;11,572;0;9.9K;986;683;255;1.4K
8789;CALL TO ARMS;https://fortnite.gg/cosmetics?id=8789;1,638;0;2.2K;281;199;68;266
8794;BOBA SNACK;https://fortnite.gg/cosmetics?id=8794;2,309;0;706;203;214;102;280
8796;BALANCE BOARD;https://fortnite.gg/cosmetics?id=8796;2,048;0;2.1K;353;204;84;226
8786;I NEED YOU TO CONCENTRATE;https://fortnite.gg/cosmetics?id=8786;1,482;0;511;128;202;63;153
8788;CALLED SHOT;https://fortnite.gg/cosmetics?id=8788;1,343;0;509;148;155;44;102
8787;HYPNOT-EYES;https://fortnite.gg/cosmetics?id=8787;2,242;0;544;163;200;67;132
8709;TOASTY ROAST;https://fortnite.gg/cosmetics?id=8709;3,106;0;2.2K;415;250;74;228
8635;REALITY'S MASTER;https://fortnite.gg/cosmetics?id=8635;1,445;0;1.6K;208;209;84;304
8345;LIL' KART;https://fortnite.gg/cosmetics?id=8345;1,984;0;1.4K;265;258;72;244
8294;FOLLOW THE BUTTERFLY;https://fortnite.gg/cosmetics?id=8294;2,302;0;1.8K;380;273;99;315
8348;ARACHROBATICS;https://fortnite.gg/cosmetics?id=8348;4,954;0;2.1K;383;265;75;257
8349;DIRTBIKE CHALLENGE;https://fortnite.gg/cosmetics?id=8349;5,195;0;5.2K;785;750;284;1.3K
8343;DIGITIZED;https://fortnite.gg/cosmetics?id=8343;1,227;0;838;161;193;87;325
8399;PICK ME UP;https://fortnite.gg/cosmetics?id=8399;1,208;0;756;152;195;88;357
8342;CHROME CONJURER;https://fortnite.gg/cosmetics?id=8342;1,038;0;396;99;174;61;260
8347;OMG I LOVE IT;https://fortnite.gg/cosmetics?id=8347;3,755;0;969;347;179;74;201
8344;LASER FOCUSED;https://fortnite.gg/cosmetics?id=8344;1,846;0;720;161;171;49;145
8128;SWEATY ROTATION;https://fortnite.gg/cosmetics?id=8128;1,728;0;1K;185;247;77;264
7883;INDY'S DUSTOFF;https://fortnite.gg/cosmetics?id=7883;1,218;0;664;145;243;81;260
7983;DISTRACTION DANCE;https://fortnite.gg/cosmetics?id=7983;11,520;0;10.2K;883;572;225;1K
7982;KOI DANCE;https://fortnite.gg/cosmetics?id=7982;7,521;0;7.4K;977;1.6K;848;3.8K
7900;IMPERIAL MARCH;https://fortnite.gg/cosmetics?id=7900;5,485;0;5.9K;564;405;135;598
7902;STEADY;https://fortnite.gg/cosmetics?id=7902;11,344;0;11.6K;1.3K;824;382;2K
7884;ARM-Y GUY;https://fortnite.gg/cosmetics?id=7884;1,469;0;707;157;193;78;196
7897;LANCE DANCE;https://fortnite.gg/cosmetics?id=7897;1,014;0;469;141;131;53;142
7898;VIBRANT VIBIN';https://fortnite.gg/cosmetics?id=7898;2,950;0;3.2K;364;295;118;355
7882;BLOWIN' UP;https://fortnite.gg/cosmetics?id=7882;4,783;0;1.6K;300;218;87;234
7901;IT IS FINISHED;https://fortnite.gg/cosmetics?id=7901;2,506;0;837;185;185;73;160
7899;SHURIKEN SPINNER;https://fortnite.gg/cosmetics?id=7899;1,481;0;346;111;210;89;219
7881;THE HEARTBREAKER;https://fortnite.gg/cosmetics?id=7881;1,235;0;1K;224;171;60;179
6498;SLASH AND SMASH;https://fortnite.gg/cosmetics?id=6498;1,800;0;1.3K;246;252;63;221
6494;CONJURE WEAPON;https://fortnite.gg/cosmetics?id=6494;2,565;0;1.1K;232;168;53;177
6501;UNCHAINED;https://fortnite.gg/cosmetics?id=6501;1,535;0;1.4K;192;166;60;222
6502;CYCLO CURL;https://fortnite.gg/cosmetics?id=6502;2,076;0;465;135;212;97;235
6499;BAG OF ESSENTIALS;https://fortnite.gg/cosmetics?id=6499;1,299;0;364;106;176;90;280
6496;BLADE BREAKER;https://fortnite.gg/cosmetics?id=6496;1,415;0;583;154;151;65;132
6500;DAGGER DANCE;https://fortnite.gg/cosmetics?id=6500;2,206;0;663;201;189;77;149
6495;SEGWAY TOUR;https://fortnite.gg/cosmetics?id=6495;2,349;0;702;158;148;56;145
6316;TACTICAL VISOR TOGGLE;https://fortnite.gg/cosmetics?id=6316;1,919;0;2.3K;263;207;80;338
6249;TUNAK TUNAK TUN;https://fortnite.gg/cosmetics?id=6249;11,806;0;19.7K;1.7K;2K;892;4.5K
6183;CHOICE KNIT;https://fortnite.gg/cosmetics?id=6183;2,154;0;729;182;222;105;127
6031;NEIGHBORLY HANG;https://fortnite.gg/cosmetics?id=6031;5,167;0;3.1K;467;238;103;339
6036;BRAIN CANDY;https://fortnite.gg/cosmetics?id=6036;1,841;0;809;173;180;92;212
6035;CROWNING ACHIEVEMENT;https://fortnite.gg/cosmetics?id=6035;3,998;0;6.1K;803;715;223;843
6034;LIL' MONSTER;https://fortnite.gg/cosmetics?id=6034;3,126;0;1K;246;200;76;152
6033;LOVE IT!;https://fortnite.gg/cosmetics?id=6033;3,783;0;854;302;159;89;111
6032;LUNAR CHARGE;https://fortnite.gg/cosmetics?id=6032;2,276;0;520;143;167;97;147
6037;MWAHAHA;https://fortnite.gg/cosmetics?id=6037;3,302;0;1.4K;236;209;98;257
6030;IT'S... YOU?;https://fortnite.gg/cosmetics?id=6030;3,018;0;1.1K;180;180;57;135
5403;SQUARE UP;https://fortnite.gg/cosmetics?id=5403;3,394;0;3.1K;491;443;113;351
5460;SIDEWAYS SHIFT;https://fortnite.gg/cosmetics?id=5460;2,102;0;1.3K;219;191;82;198
5464;MONKEY MOSH;https://fortnite.gg/cosmetics?id=5464;2,172;0;1.9K;262;285;153;618
5463;LIL' ROVER;https://fortnite.gg/cosmetics?id=5463;2,465;0;767;213;231;88;175
5462;HAND-FORGED;https://fortnite.gg/cosmetics?id=5462;3,262;0;1.9K;352;243;99;238
5458;FLAKE SHAKE;https://fortnite.gg/cosmetics?id=5458;2,457;0;2.3K;311;328;199;743
5465;READY WHEN YOU ARE;https://fortnite.gg/cosmetics?id=5465;2,204;0;549;159;243;77;141
5459;NAILED IT;https://fortnite.gg/cosmetics?id=5459;2,914;0;619;123;222;94;179
5311;GOOD GUY;https://fortnite.gg/cosmetics?id=5311;4,142;0;2.7K;326;256;103;373
5303;XOXO;https://fortnite.gg/cosmetics?id=5303;3,704;0;1.3K;276;211;79;196
5106;LIL' TREAT;https://fortnite.gg/cosmetics?id=5106;4,273;0;3.7K;740;525;143;477
4980;SECRET IDENTITY;https://fortnite.gg/cosmetics?id=4980;3,471;0;1.3K;290;249;109;214
4987;UNZIPPED;https://fortnite.gg/cosmetics?id=4987;3,656;0;1.2K;244;330;151;400
4985;LIL' SAUCER;https://fortnite.gg/cosmetics?id=4985;6,714;0;1.5K;339;256;98;165
4984;THE RICK DANCE;https://fortnite.gg/cosmetics?id=4984;6,681;0;4.7K;591;390;186;770
4982;KICK BACK;https://fortnite.gg/cosmetics?id=4982;5,662;0;1.1K;284;185;68;121
4978;SKA-STRA-TERRESTRIAL;https://fortnite.gg/cosmetics?id=4978;5,736;0;2.7K;431;212;139;466
4981;VULCAN SALUTE;https://fortnite.gg/cosmetics?id=4981;4,302;0;487;122;239;79;212
