,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_r2,split1_test_r2,split2_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_mae,split1_test_mae,split2_test_mae,mean_test_mae,std_test_mae,rank_test_mae
23,20.598133325576782,0.5597962642698125,0.4439555803934733,0.10375056081113487,0.8,0.1,3,3,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 1.0}",-0.7890959987961343,-0.7681691747706417,-0.7745005207871303,-0.7772552314513023,0.008762583868584285,17,0.9815024551835699,0.982400365677469,0.9821520097858116,0.9820182768822835,0.0003785711565681934,17,-0.28845701896713305,-0.28551149430661316,-0.28730318356307005,-0.2870905656122721,0.0012118673404251951,19
24,11.846422990163168,0.7794855620250096,0.30305926005045575,0.04923989436503849,0.8,0.1,5,1,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 0.8}",-0.7863408923848001,-0.7651646321384051,-0.770970046145767,-0.7741585235563241,0.00893432671046477,8,0.9816313970030021,0.9825377714488891,0.982314355087953,0.9821611745132813,0.00038555317435410934,8,-0.2808651697513705,-0.2786599630609356,-0.2780406769989403,-0.27918860327041545,0.0012121702796889686,14
25,10.609483321507772,1.0601014757524794,0.2788456281026204,0.049631769555674124,0.8,0.1,5,1,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.7856806946546525,-0.7656810923157079,-0.770046621815389,-0.7738028029285831,0.008585945719422993,7,0.9816622279552106,0.9825141906693263,0.9823566954473614,0.9821777046906327,0.0003701246500001063,7,-0.28063914467101014,-0.27943744138248194,-0.2779757141462148,-0.2793507667332356,0.0010890668517035962,16
26,18.180065393447876,2.682536620104679,0.48891131083170575,0.13499492983493977,0.8,0.1,5,1,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",-0.7902701459342072,-0.7671959725566546,-0.7748112906406291,-0.7774258030438302,0.009599691855964565,20,0.9814473668349384,0.9824449317804053,0.9821376838300485,0.982009994148464,0.0004171430179953788,20,-0.28001490008199703,-0.2784438962482529,-0.27705500449841947,-0.2785046002762231,0.0012091344564547962,11
27,22.031298478444416,0.7178416027236415,0.8084534009297689,0.03364443480216385,0.8,0.1,5,1,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 1.0}",-0.7904097953142057,-0.7693976609437181,-0.7707636447854462,-0.7768570336811234,0.009599461404208332,16,0.9814408093491238,0.9823440286188437,0.9823238232963692,0.9820362204214456,0.00042110000597372715,16,-0.2792036807531656,-0.27763631536034,-0.27644606767255486,-0.27776202126202015,0.0011292944569883058,10
28,10.814017057418823,0.09672388050241976,0.30313905080159503,0.0270387119170232,0.8,0.1,5,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 0.8}",-0.7865356332843777,-0.764552196960391,-0.7701762957322021,-0.7737547086589903,0.009324578541276374,6,0.9816222977401987,0.982565713679066,0.9823507527707017,0.9821795880633221,0.0004037172494180006,6,-0.28084705682526634,-0.2787964268268132,-0.27805878640144627,-0.279234090017842,0.0011796255876826696,15
29,10.80189037322998,0.2662084516826721,0.31588371594746906,0.04781184380640177,0.8,0.1,5,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 1.0}",-0.7851101156097622,-0.7648337317045252,-0.7665862692055472,-0.7721767055066117,0.009173246230036998,1,0.9816888528913779,0.9825528714923008,0.982514906336555,0.982252210240078,0.0003986552102702575,1,-0.2803583784982123,-0.2791335135864023,-0.27775117685446976,-0.2790810229796948,0.0010650325662087748,13
30,20.806588411331177,3.5127195434382483,0.5794438521067301,0.037664897452082215,0.8,0.1,5,3,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",-0.7886489622916326,-0.7659999212557684,-0.7704313293021047,-0.775026737616502,0.00980078561963575,10,0.9815234076038117,0.9824996254859365,0.9823390622115407,0.982120698433763,0.00042740487669113705,10,-0.2801589480415573,-0.27858210450607396,-0.27704784532689064,-0.2785962992915073,0.0012701420246706407,12
31,27.270172595977783,0.15613405536680705,0.7239254315694174,0.07253346024902274,0.8,0.1,5,3,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 1.0}",-0.7876797813737139,-0.7672548870595884,-0.7689613412561322,-0.7746320032298115,0.009252436880829369,9,0.9815687919470706,0.9824422354997518,0.982406392288118,0.9821391399116468,0.0004035622913316175,9,-0.2789456393161986,-0.2775327241101875,-0.27632253155964925,-0.27760029832867844,0.001071944737963303,9
32,13.564350366592407,0.7224647489020916,0.2365415891011556,0.04092138801487714,1.0,0.01,3,1,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 0.8}",-2.4409047671990933,-2.430636462909988,-2.4266332342368373,-2.432724821448639,0.006010551517271348,59,0.8230070055563232,0.8237902601022504,0.8247919026910533,0.8238630561165423,0.0007304970409086725,59,-1.7225280379026275,-1.7219803821758803,-1.7193215115973335,-1.7212766438919471,0.001400449550642136,57
